gameId,date,fibaZone,competition,round,team,team_short,Win,Loss,Differential
114398,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Japan,JPN,1,0,30
114399,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Japan,JPN,1,0,22
114399,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Colombia,COL,0,1,-22
114400,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Czechia,CZE,0,1,-8
114400,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Slovenia,SLO,1,0,8
114401,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Colombia,COL,1,0,6
114401,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Czechia,CZE,0,1,-6
114402,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Slovenia,SLO,1,0,27
114402,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Colombia,COL,0,1,-27
114403,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,New Zealand,NZL,1,0,12
114403,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Italy,ITA,0,1,-12
114404,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Egypt,EGY,0,1,-11
114404,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Italy,ITA,1,0,11
114405,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Italy,ITA,0,1,-15
114405,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Canada,CAN,1,0,15
114406,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,Egypt,EGY,0,1,-14
114406,2026-07-11,World,FIBA U17 Women's Basketball World Cup,Group Phase,New Zealand,NZL,1,0,14
114407,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,Canada,CAN,1,0,9
114407,2026-07-14,World,FIBA U17 Women's Basketball World Cup,Group Phase,New Zealand,NZL,0,1,-9
114408,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Canada,CAN,1,0,20
114408,2026-07-12,World,FIBA U17 Women's Basketball World Cup,Group Phase,Egypt,EGY,0,1,-20
132952,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,USA,USA,1,0,76
132952,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Mexico,MEX,0,1,-76
132953,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Australia,AUS,1,0,26
132953,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Germany,GER,0,1,-26
132954,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Latvia,LAT,0,1,-23
132954,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,People 's Republic of China,CHN,1,0,23
