gameId,nationality,teamId,shortCode,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,ID,10+ ppg,MP,opp_nationality,opp_teamId,opp_shortCode,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO
132969,Germany,64,GER,23,6,38,16,54,13,30,17,56.7,38,10,26.3,68,27,39.7,21,16,76.2,27,15,55.6,21,80,16,32,1,3,200,Côte d'Ivoire,44,CIV,12,2,27,18,45,20,52,14,26.9,20,2,10,72,16,22.2,21,13,61.9,46,12,26.1,14,47,19,29
132969,Côte d'Ivoire,44,CIV,12,2,27,18,45,20,52,14,26.9,20,2,10,72,16,22.2,21,13,61.9,46,12,26.1,14,47,19,29,2,2,200,Germany,64,GER,23,6,38,16,54,13,30,17,56.7,38,10,26.3,68,27,39.7,21,16,76.2,27,15,55.6,21,80,16,32
132971,Japan,85,JPN,13,1,19,14,33,11,30,7,23.3,44,10,22.7,74,17,23,12,8,66.7,18,6,33.3,20,52,15,9,1,3,200,New Zealand,113,NZL,24,4,44,20,64,20,38,16,42.1,21,10,47.6,59,26,44.1,25,15,60,33,14,42.4,11,77,5,23
132971,New Zealand,113,NZL,24,4,44,20,64,20,38,16,42.1,21,10,47.6,59,26,44.1,25,15,60,33,14,42.4,11,77,5,23,2,4,200,Japan,85,JPN,13,1,19,14,33,11,30,7,23.3,44,10,22.7,74,17,23,12,8,66.7,18,6,33.3,20,52,15,9
132982,Italy,83,ITA,14,1,32,20,52,14,50,21,42,24,3,12.5,74,24,32.4,18,12,66.7,37,17,46,17,63,6,7,1,4,200,Latvia,610,LAT,11,1,30,10,40,17,36,14,38.9,22,6,27.3,58,20,34.5,24,13,54.2,34,14,41.2,14,59,2,10
132982,Latvia,610,LAT,11,1,30,10,40,17,36,14,38.9,22,6,27.3,58,20,34.5,24,13,54.2,34,14,41.2,14,59,2,10,2,3,200,Italy,83,ITA,14,1,32,20,52,14,50,21,42,24,3,12.5,74,24,32.4,18,12,66.7,37,17,46,17,63,6,7
132970,Slovenia,618,SLO,15,6,28,8,36,16,46,25,54.4,11,4,36.4,57,29,50.9,11,9,81.8,34,22,64.7,19,71,4,16,1,3,200,People 's Republic of China,39,CHN,16,0,19,11,30,19,34,16,47.1,30,9,30,64,25,39.1,18,14,77.8,29,13,44.8,16,73,6,9
132970,People 's Republic of China,39,CHN,16,0,19,11,30,19,34,16,47.1,30,9,30,64,25,39.1,18,14,77.8,29,13,44.8,16,73,6,9,2,2,200,Slovenia,618,SLO,15,6,28,8,36,16,46,25,54.4,11,4,36.4,57,29,50.9,11,9,81.8,34,22,64.7,19,71,4,16
132968,Mexico,104,MEX,19,4,30,14,44,18,48,22,45.8,20,4,20,68,26,38.2,19,10,52.6,42,20,47.6,14,66,13,18,1,3,200,Czechia,886,CZE,20,9,31,14,45,13,48,22,45.8,25,7,28,73,29,39.7,11,9,81.8,44,22,50,18,74,14,18
132968,Czechia,886,CZE,20,9,31,14,45,13,48,22,45.8,25,7,28,73,29,39.7,11,9,81.8,44,22,50,18,74,14,18,2,3,200,Mexico,104,MEX,19,4,30,14,44,18,48,22,45.8,20,4,20,68,26,38.2,19,10,52.6,42,20,47.6,14,66,13,18
132973,Australia,16,AUS,12,6,31,16,47,19,30,15,50,24,4,16.7,54,19,35.2,16,9,56.3,28,14,50,14,51,5,21,1,2,200,Spain,138,ESP,18,2,22,22,44,14,38,12,31.6,32,9,28.1,70,21,30,12,7,58.3,34,11,32.4,19,58,15,12
132973,Spain,138,ESP,18,2,22,22,44,14,38,12,31.6,32,9,28.1,70,21,30,12,7,58.3,34,11,32.4,19,58,15,12,2,2,200,Australia,16,AUS,12,6,31,16,47,19,30,15,50,24,4,16.7,54,19,35.2,16,9,56.3,28,14,50,14,51,5,21
132983,Egypt,53,EGY,21,6,41,12,53,17,45,23,51.1,23,5,21.7,68,28,41.2,19,11,57.9,44,23,52.3,16,72,10,16,1,2,200,Colombia,40,COL,8,3,32,8,40,16,47,13,27.7,14,1,7.1,61,14,23,13,7,53.9,40,12,30,17,36,12,21
132983,Colombia,40,COL,8,3,32,8,40,16,47,13,27.7,14,1,7.1,61,14,23,13,7,53.9,40,12,30,17,36,12,21,2,0,200,Egypt,53,EGY,21,6,41,12,53,17,45,23,51.1,23,5,21.7,68,28,41.2,19,11,57.9,44,23,52.3,16,72,10,16
132972,USA,154,USA,23,7,25,24,49,21,53,25,47.2,20,5,25,73,30,41.1,30,21,70,41,21,51.2,22,86,13,19,1,4,200,Canada,34,CAN,16,6,23,16,39,22,37,13,35.1,19,5,26.3,56,18,32.1,26,19,73.1,31,9,29,21,60,7,25
132972,Canada,34,CAN,16,6,23,16,39,22,37,13,35.1,19,5,26.3,56,18,32.1,26,19,73.1,31,9,29,21,60,7,25,2,3,200,USA,154,USA,23,7,25,24,49,21,53,25,47.2,20,5,25,73,30,41.1,30,21,70,41,21,51.2,22,86,13,19
132974,Mexico,104,MEX,32,4,40,14,54,27,48,26,54.2,15,4,26.7,63,30,47.6,38,24,63.2,45,24,53.3,26,88,16,25,1,4,200,Côte d'Ivoire,44,CIV,17,4,25,12,37,25,44,13,29.6,20,9,45,64,22,34.4,41,19,46.3,35,9,25.7,27,72,15,19
132974,Côte d'Ivoire,44,CIV,17,4,25,12,37,25,44,13,29.6,20,9,45,64,22,34.4,41,19,46.3,35,9,25.7,27,72,15,19,2,1,200,Mexico,104,MEX,32,4,40,14,54,27,48,26,54.2,15,4,26.7,63,30,47.6,38,24,63.2,45,24,53.3,26,88,16,25
132975,Czechia,886,CZE,13,3,26,20,46,18,49,11,22.5,16,1,6.3,65,12,18.5,24,12,50,47,11,23.4,22,37,17,28,1,1,200,Germany,64,GER,20,8,33,17,50,21,28,14,50,31,8,25.8,59,22,37.3,18,11,61.1,28,14,50,18,63,15,31
