gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
114403,New Zealand,113,NZL,68,73.61619047619048,92.4,3,76.1,42.8,28.5,81,80.8
114403,Italy,83,ITA,56,73.61619047619048,76.1,2,92.4,41,20.4,53.5,56.5
114408,Canada,34,CAN,76,76.03442324755989,100,3,73.7,40.2,19.7,77.6,87.5
114408,Egypt,53,EGY,56,76.03442324755989,73.7,1,100,35.9,17.1,58.7,65
114396,People 's Republic of China,39,CHN,79,74.41639423076923,106.2,3,72.6,46.8,17.5,69.2,57.6
114396,Germany,64,GER,54,74.41639423076923,72.6,2,106.2,37.3,32.3,54.2,72.2
114393,Spain,138,ESP,75,71.66706493506493,104.7,4,55.8,41.4,23.7,74.3,82.8
114393,Mexico,104,MEX,40,71.66706493506493,55.8,1,104.7,33.7,34.9,43.6,81.2
114398,Slovenia,618,SLO,59,72.9879794079794,80.8,4,121.9,33.3,37,83.8,106.2
114398,Japan,85,JPN,89,72.9879794079794,121.9,6,80.8,54,8.2,47.6,48.3
114401,Colombia,40,COL,52,81.70846920289856,63.6,1,56.3,28.4,29.4,65.2,100
114401,Czechia,886,CZE,46,81.70846920289856,56.3,2,63.6,18.6,20.8,70.8,100
114386,Latvia,610,LAT,69,84.76437037037036,81.4,1,51.9,41.8,29.5,74.1,87
114386,Côte d'Ivoire,44,CIV,44,84.76437037037036,51.9,2,81.4,23.8,28.3,71.1,53.3
114389,USA,154,USA,74,75.30053201970443,98.3,4,95.6,34.1,14.6,74.3,53.8
114389,Australia,16,AUS,72,75.30053201970443,95.6,2,98.3,45.1,21.2,53.4,60
114395,Germany,64,GER,61,85.90319746376812,71,2,48.9,39.4,43.1,79.2,77.3
114395,Mexico,104,MEX,42,85.90319746376812,48.9,1,71,27.3,31.4,52.2,64.7
114392,People 's Republic of China,39,CHN,36,72.04693965517241,50,0,99.9,31.9,38.9,44.8,71.4
114392,Spain,138,ESP,72,72.04693965517241,99.9,2,50,34.4,19.4,75,78.3
114385,Côte d'Ivoire,44,CIV,37,74.74066666666667,49.5,2,119.1,23.3,26.8,73.3,91.7
114385,Australia,16,AUS,89,74.74066666666667,119.1,5,49.5,62.1,18.7,80,109.1
114388,Latvia,610,LAT,53,88.60683156925909,59.8,1,118.5,32.7,36.1,50.9,120
114388,USA,154,USA,105,88.60683156925909,118.5,5,59.8,48.8,16.9,78,65.8
114397,Japan,85,JPN,69,70.577888888888907,97.8,2,69.4,38.9,15.6,56.8,70
114397,Czechia,886,CZE,49,70.577888888888907,69.4,2,97.8,30.6,32.6,68.9,77.8
114402,Slovenia,618,SLO,86,76.3053095684803,112.7,4,77.3,52.1,18.3,75.6,81.8
114402,Colombia,40,COL,59,76.3053095684803,77.3,3,112.7,44.2,28.8,53.8,59.1
114404,Egypt,53,EGY,49,73.51622540250446,66.7,2,81.6,33.3,27.2,63.5,81.2
114404,Italy,83,ITA,60,73.51622540250446,81.6,2,66.7,32.1,16.3,74.4,78.9
114407,Canada,34,CAN,85,75.20549052396879,113,4,101.1,50.7,16,71.8,65.6
114407,New Zealand,113,NZL,76,75.20549052396879,101.1,2,113,49.2,17.3,60.9,92.9
132952,USA,154,USA,112,76.69302380952381,146,7,46.9,59.3,15.6,68.3,92.9
132952,Mexico,104,MEX,36,76.69302380952381,46.9,2,146,24.6,28.7,40.5,73.3
132954,Latvia,610,LAT,60,75.7062403100775,79.3,3,109.6,38.5,26.4,58.1,79.2
132954,People 's Republic of China,39,CHN,83,75.7062403100775,109.6,3,79.3,48.6,17.2,66.7,77.4
132953,Australia,16,AUS,71,74.96197073170731,94.7,3,60,44.7,21.3,68,74.1
132953,Germany,64,GER,45,74.96197073170731,60,1,94.7,28.7,24,70.7,52.9
132955,Côte d'Ivoire,44,CIV,33,70.48895687645687,46.8,2,123.4,32.1,39.7,42.3,72.7
132955,Spain,138,ESP,87,70.48895687645687,123.4,3,46.8,44.6,17,84.8,78.8
132958,Colombia,40,COL,40,76.3359375,52.4,1,78.6,22.8,21,56.2,64.3
132958,New Zealand,113,NZL,60,76.3359375,78.6,2,52.4,31.5,21,75,62.5
132959,Czechia,886,CZE,40,80.38326841144249,49.8,1,83.4,22.4,26.1,56.6,68.8
132959,Canada,34,CAN,67,80.38326841144249,83.4,3,49.8,38.7,27.4,66.1,56.5
132957,Slovenia,618,SLO,66,73.5642537746806,89.7,4,59.8,41.5,24.5,69,60.9
132957,Italy,83,ITA,44,73.5642537746806,59.8,2,89.7,32.8,31.3,63.4,58.8
132956,Japan,85,JPN,80,73.47829302987199,108.9,3,72.1,48.4,15,64.9,51.9
132956,Egypt,53,EGY,53,73.47829302987199,72.1,3,108.9,28.1,16.3,75.7,52.6
132963,Côte d'Ivoire,44,CIV,51,79.734775,64,2,82.8,32,23.8,68.8,70.6
132963,Colombia,40,COL,66,79.734775,82.8,2,64,48,36.4,76,100
132965,Australia,16,AUS,70,67.035,104.4,3,95.5,46.6,23.9,85.7,62.5
132965,Japan,85,JPN,64,67.035,95.5,2,104.4,47.6,13.4,60,22.2
132961,Germany,64,GER,54,77.52573170731708,69.7,1,74.8,32.8,25.8,80.5,83.3
132961,Egypt,53,EGY,58,77.52573170731708,74.8,3,69.7,38.7,24.5,69.4,84.2
132967,Spain,138,ESP,84,82.51642857142858,101.8,3,66.7,39.2,13.3,71.4,68.8
132967,New Zealand,113,NZL,55,82.51642857142858,66.7,2,101.8,34.3,30.3,59,112.5
132962,Latvia,610,LAT,72,78.51159183673468,91.7,3,75.1,38.5,31.8,63.3,81.2
132962,Czechia,886,CZE,59,78.51159183673468,75.1,0,91.7,35.7,26.7,60,58.3
132966,People 's Republic of China,39,CHN,68,79.52323076923076,85.5,3,86.8,39.4,20.1,67.5,65.5
132966,Canada,34,CAN,69,79.52323076923076,86.8,4,85.5,44.5,26.4,63.5,61.5
132960,Mexico,104,MEX,62,78.07856382978723,79.4,2,92.2,36.5,16.6,56.2,66.7
132960,Italy,83,ITA,72,78.07856382978723,92.2,4,79.4,43.5,29.5,76.6,95.5
132964,USA,154,USA,77,70.11044642857144,109.8,4,81.3,46.5,12.8,62.5,59.4
132964,Slovenia,618,SLO,57,70.11044642857144,81.3,2,109.8,48.1,37.1,57.1,82.6
132969,Germany,64,GER,80,91.10813953488372,87.8,3,51.6,47.1,35.1,67.9,85.2
132969,Côte d'Ivoire,44,CIV,47,91.10813953488372,51.6,2,87.8,23.6,31.8,62.8,75
132971,Japan,85,JPN,52,73.48529177718834,70.8,3,104.8,29.7,12.2,48.7,76.5
132971,New Zealand,113,NZL,77,73.48529177718834,104.8,4,70.8,52.5,31.3,75.9,92.3
132982,Italy,83,ITA,63,67.35952380952381,93.5,4,87.6,34.5,10.4,76.2,58.3
132982,Latvia,610,LAT,59,67.35952380952381,87.6,3,93.5,39.7,14.8,60,55
132970,Slovenia,618,SLO,71,68.47648148148149,103.7,3,106.6,54.4,23.4,71.8,51.7
132970,People 's Republic of China,39,CHN,73,68.47648148148149,106.6,2,103.7,46.1,13.1,70.4,64
132968,Mexico,104,MEX,66,80.01933333333332,82.5,3,92.5,41.2,22.5,68.2,73.1
132968,Czechia,886,CZE,74,80.01933333333332,92.5,3,82.5,44.5,22.5,68.9,69
132973,Australia,16,AUS,51,65.33409136047666,78.1,2,88.8,38.9,32.1,58.5,63.2
132973,Spain,138,ESP,58,65.33409136047666,88.8,2,78.1,36.4,18.4,57.9,85.7
132983,Egypt,53,EGY,72,79.45833024118738,90.6,2,45.3,44.9,20.1,83.7,75
132983,Colombia,40,COL,36,79.45833024118738,45.3,0,90.6,23.8,26.4,72.7,57.1
132972,USA,154,USA,86,78.01910742086145,110.2,4,76.9,44.5,24.4,61,76.7
132972,Canada,34,CAN,60,78.01910742086145,76.9,3,110.2,36.6,32,48.9,88.9
132974,Mexico,104,MEX,88,89.77692307692308,98,4,80.2,50.8,27.8,76.9,106.7
132974,Côte d'Ivoire,44,CIV,72,89.77692307692308,80.2,1,98,41.4,21.2,64.1,77.3
132975,Czechia,886,CZE,37,81.37406976744185,45.5,1,77.4,19.2,34.4,60.5,108.3
132975,Germany,64,GER,63,81.37406976744185,77.4,2,45.5,44.1,38.1,62.3,90.9
132976,Latvia,610,LAT,60,75.11531985871272,79.9,2,61.2,34.1,22.6,69.4,110
132976,Colombia,40,COL,46,75.11531985871272,61.2,1,79.9,29.5,26.6,63.5,82.4
132977,Italy,83,ITA,63,75.24780454042082,83.7,2,106.3,40,22.6,62.8,66.7
132977,Egypt,53,EGY,80,75.24780454042082,106.3,2,83.7,47.9,15.9,69,53.1
132978,Slovenia,618,SLO,45,63.86673170731707,70.5,2,84.6,32,26.6,68.3,76.5
132978,Japan,85,JPN,54,63.86673170731707,84.6,2,70.5,33.9,15.7,65,31.6
132979,People 's Republic of China,39,CHN,61,73.64868421052631,82.8,4,103.2,33.5,16.3,55.3,76
132979,New Zealand,113,NZL,76,73.64868421052631,103.2,2,82.8,47.7,24.4,61.1,67.9
132980,Canada,34,CAN,57,67.5035652173913,84.4,2,94.8,38.1,16.3,60,59.1
132980,Australia,16,AUS,64,67.5035652173913,94.8,3,84.4,40.3,19.3,73.9,73.9
132981,USA,154,USA,82,78.85352813852813,104,3,92.6,51.9,27.9,54,56
132981,Spain,138,ESP,73,78.85352813852813,92.6,2,104,36.6,17.8,54.5,51.7
